InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538654,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-07-25 12:26:00,9.25,12444.0,Australia
544577,71053,WHITE METAL LANTERN,4,2010-12-25 15:24:00,7.66,12965.0,EIRE
536576,21931,JUMBO STORAGE BAG SUKI,3,2010-05-18 13:31:00,13.81,12354.0,United Kingdom
544081,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-11-15 18:15:00,26.37,12849.0,United Kingdom
542480,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-01 06:57:00,5.46,12688.0,Australia
542518,22423,REGENCY CAKESTAND 3 TIER,4,2011-07-30 18:10:00,6.85,12692.0,United Kingdom
545935,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2011-06-18 11:13:00,3.14,13127.0,EIRE
541155,23203,JUMBO BAG VINTAGE DOILY,6,2011-10-11 15:53:00,6.3,12580.0,United Kingdom
543640,22383,LUNCH BAG SUKI DESIGN,7,2011-08-08 06:26:00,6.27,12790.0,Germany
545807,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2010-09-24 13:39:00,2.93,13111.0,United Kingdom
536636,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-08-01 15:49:00,6.74,12357.0,United Kingdom
536453,22960,JAM MAKING SET WITH JARS,6,2011-05-22 00:21:00,4.38,12349.0,Australia
538511,22960,JAM MAKING SET WITH JARS,4,2011-03-18 01:01:00,14.0,12439.0,United Kingdom
543277,23298,SPOTTY BUNTING,5,2010-07-11 09:15:00,4.97,12760.0,United Kingdom
540308,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-03-01 10:17:00,8.46,12512.0,United Kingdom
537297,23298,SPOTTY BUNTING,6,2011-04-17 09:46:00,5.17,12384.0,Germany
546920,47566,PARTY BUNTING,6,2011-10-08 12:16:00,6.92,13520.0,United Kingdom
537683,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-08-29 10:17:00,6.25,12403.0,United Kingdom
540555,22720,SET OF 3 CAKE TINS PANTRY DESIGN,7,2011-09-11 07:10:00,6.79,12531.0,United Kingdom
539846,71053,WHITE METAL LANTERN,6,2011-08-27 17:08:00,5.28,12495.0,EIRE
544661,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-01-28 04:30:00,3.58,12977.0,United Kingdom
536568,23298,SPOTTY BUNTING,5,2011-11-26 11:58:00,4.46,12354.0,United Kingdom
538228,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2011-03-29 17:02:00,8.51,12429.0,United Kingdom
536732,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-02-22 03:11:00,9.74,12361.0,United Kingdom
544561,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2010-04-03 06:16:00,3.54,12964.0,United Kingdom
540790,22457,NATURAL SLATE HEART CHALKBOARD,6,2010-08-04 13:29:00,4.81,12550.0,United Kingdom
538003,47566,PARTY BUNTING,6,2011-06-25 06:40:00,12.73,12417.0,Australia
539862,23203,JUMBO BAG VINTAGE DOILY,4,2011-03-02 03:50:00,10.8,12496.0,United Kingdom
537041,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-04-10 01:02:00,8.46,12374.0,Australia
541595,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-09-21 18:22:00,2.89,12617.0,Australia
538462,23245,SET OF 3 REGENCY CAKE TINS,6,2011-02-25 04:26:00,7.99,12437.0,United Kingdom
540070,22138,BAKING SET 9 PIECE RETROSPOT,6,2010-05-29 15:10:00,9.5,12504.0,United Kingdom
539634,22138,BAKING SET 9 PIECE RETROSPOT,7,2011-09-03 20:17:00,11.72,12485.0,United Kingdom
546041,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-02-21 06:12:00,7.5,13139.0,United Kingdom
540485,22457,NATURAL SLATE HEART CHALKBOARD,6,2011-07-29 07:33:00,5.73,12525.0,United Kingdom
538908,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-10-19 19:54:00,12.84,12453.0,United Kingdom
541510,23298,SPOTTY BUNTING,7,2011-10-21 11:33:00,7.18,12612.0,United Kingdom
540643,21931,JUMBO STORAGE BAG SUKI,3,2011-06-28 19:38:00,4.25,12539.0,United Kingdom
540517,23298,SPOTTY BUNTING,6,2011-05-11 16:40:00,5.04,12529.0,Germany
538127,47566,PARTY BUNTING,5,2011-11-02 23:10:00,7.26,12425.0,United Kingdom
538785,47566,PARTY BUNTING,11,2011-05-03 23:08:00,11.73,12449.0,United Kingdom
546787,22383,LUNCH BAG SUKI DESIGN,3,2011-10-31 11:57:00,3.4,13445.0,Belgium
544170,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-09-28 03:46:00,25.45,12877.0,United Kingdom
537540,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-09-17 12:01:00,8.3,12397.0,Spain
543055,20725,LUNCH BAG RED RETROSPOT,8,2011-06-03 13:39:00,6.27,12738.0,Netherlands
541697,23245,SET OF 3 REGENCY CAKE TINS,6,2010-08-16 00:27:00,5.23,12625.0,Spain
542853,22383,LUNCH BAG SUKI DESIGN,5,2011-07-09 21:05:00,6.76,12721.0,France
537628,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2011-06-01 06:35:00,9.25,12401.0,EIRE
543962,22138,BAKING SET 9 PIECE RETROSPOT,8,2010-12-10 13:36:00,21.59,12819.0,United Kingdom
536988,47566,PARTY BUNTING,6,2011-05-31 04:47:00,9.48,12371.0,United Kingdom
539017,20725,LUNCH BAG RED RETROSPOT,6,2011-06-10 07:24:00,6.18,12460.0,United Kingdom
539278,21931,JUMBO STORAGE BAG SUKI,8,2011-04-05 19:37:00,13.64,12470.0,United Kingdom
539895,47566,PARTY BUNTING,5,2011-08-06 13:32:00,9.8,12497.0,Portugal
540208,22720,SET OF 3 CAKE TINS PANTRY DESIGN,7,2010-08-22 05:17:00,9.38,12509.0,United Kingdom
543573,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-11-30 05:24:00,6.8,12786.0,United Kingdom
543573,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-11-30 05:24:00,5.48,12786.0,United Kingdom
536555,20725,LUNCH BAG RED RETROSPOT,10,2011-02-16 23:49:00,7.82,12353.0,United Kingdom
542205,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-07-19 04:59:00,7.57,12667.0,United Kingdom
542188,22138,BAKING SET 9 PIECE RETROSPOT,9,2011-07-01 16:48:00,5.34,12666.0,EIRE
537673,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-05-25 23:47:00,9.14,12403.0,United Kingdom
542557,23245,SET OF 3 REGENCY CAKE TINS,1,2011-05-21 14:35:00,3.24,12697.0,United Kingdom
546194,22138,BAKING SET 9 PIECE RETROSPOT,9,2010-07-08 09:58:00,5.14,13156.0,United Kingdom
542535,23245,SET OF 3 REGENCY CAKE TINS,7,2011-04-27 05:09:00,2.57,12694.0,United Kingdom
545713,22457,NATURAL SLATE HEART CHALKBOARD,3,2010-11-28 17:32:00,6.02,13099.0,Portugal
537333,22197,POPCORN HOLDER,4,2011-11-24 16:32:00,6.45,12385.0,France
541540,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2011-11-03 22:05:00,7.27,12615.0,United Kingdom
543517,47566,PARTY BUNTING,11,2011-10-11 16:07:00,7.3,12779.0,United Kingdom
541627,47566,PARTY BUNTING,6,2011-05-07 15:30:00,7.15,12619.0,Netherlands
542309,71053,WHITE METAL LANTERN,3,2010-12-12 11:49:00,4.75,,United Kingdom
544654,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2010-02-21 17:24:00,7.23,12976.0,United Kingdom
539451,47566,PARTY BUNTING,6,2011-05-03 05:29:00,6.54,12475.0,United Kingdom
542881,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-04-25 22:34:00,2.59,12724.0,Netherlands
538926,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-11-08 12:43:00,8.25,12455.0,Belgium
540259,22960,JAM MAKING SET WITH JARS,6,2010-12-29 04:56:00,9.72,12510.0,United Kingdom
540323,22138,BAKING SET 9 PIECE RETROSPOT,4,2011-07-07 08:26:00,8.68,12513.0,Belgium
540416,71053,WHITE METAL LANTERN,6,2011-10-15 23:13:00,6.55,12520.0,United Kingdom
536912,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-05-22 20:49:00,10.95,12369.0,United Kingdom
538490,23245,SET OF 3 REGENCY CAKE TINS,6,2010-05-10 06:22:00,7.51,12439.0,United Kingdom
539162,22383,LUNCH BAG SUKI DESIGN,7,2010-05-30 05:48:00,7.57,12467.0,United Kingdom
538545,22960,JAM MAKING SET WITH JARS,4,2010-11-30 03:11:00,6.42,12440.0,United Kingdom
545028,47566,PARTY BUNTING,6,2011-04-05 02:35:00,6.48,13019.0,United Kingdom
540611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2011-08-16 21:50:00,5.49,12536.0,United Kingdom
538588,22197,POPCORN HOLDER,5,2010-01-28 13:20:00,4.37,12442.0,United Kingdom
539846,22457,NATURAL SLATE HEART CHALKBOARD,12,2011-08-27 17:08:00,9.52,12495.0,EIRE
538565,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2010-11-09 22:36:00,6.68,12441.0,France
539827,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-04-18 07:04:00,9.13,12494.0,United Kingdom
545653,22960,JAM MAKING SET WITH JARS,4,2010-06-18 08:08:00,5.31,13091.0,Netherlands
537069,21931,JUMBO STORAGE BAG SUKI,6,2011-10-22 03:32:00,6.83,,Australia
542591,23203,JUMBO BAG VINTAGE DOILY,4,2011-07-25 00:44:00,5.34,,United Kingdom
537972,22138,BAKING SET 9 PIECE RETROSPOT,11,2011-06-19 21:36:00,9.76,12416.0,Germany
539812,21212,PACK OF 72 RETROSPOT CAKE CASES,7,2010-08-30 04:53:00,11.12,12494.0,United Kingdom
540714,22383,LUNCH BAG SUKI DESIGN,3,2011-07-24 01:21:00,7.41,12544.0,United Kingdom
544384,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2010-07-08 16:12:00,24.93,12933.0,United Kingdom
544539,21931,JUMBO STORAGE BAG SUKI,14,2010-11-30 01:34:00,6.47,12961.0,Spain
538282,22423,REGENCY CAKESTAND 3 TIER,4,2011-11-19 13:57:00,4.76,12430.0,United Kingdom
537555,22383,LUNCH BAG SUKI DESIGN,5,2011-04-30 10:42:00,10.39,12399.0,Germany
538879,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-07-08 09:32:00,11.27,12452.0,France
544652,22383,LUNCH BAG SUKI DESIGN,6,2010-01-02 22:04:00,5.74,12976.0,United Kingdom
539396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2010-07-16 23:00:00,11.06,12474.0,Portugal
544322,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2010-02-21 11:13:00,9.49,12918.0,EIRE
538363,22197,POPCORN HOLDER,4,2011-03-26 11:10:00,11.0,12433.0,United Kingdom
544947,71053,WHITE METAL LANTERN,15,2010-05-30 12:23:00,6.62,13012.0,Spain
C538920,22423,REGENCY CAKESTAND 3 TIER,-8,2011-10-18 06:06:00,6.56,12454.0,Portugal
544151,22138,BAKING SET 9 PIECE RETROSPOT,10,2011-09-18 19:10:00,12.07,12871.0,United Kingdom
544993,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2010-05-21 10:10:00,7.96,13016.0,United Kingdom
542512,23298,SPOTTY BUNTING,5,2010-11-01 15:25:00,7.6,12692.0,United Kingdom
