Member_number,Date,itemDescription,_basket_id
1533,09-10-2024,canned beer,287
1836,25-10-2024,tropical fruit,2181
1368,30-01-2024,root vegetables,69
1083,30-07-2024,pastry,4280
1175,30-03-2024,red wine,3434
1980,27-04-2024,cat food,2135
1548,15-05-2025,brown bread,2545
1913,30-08-2024,pastry,1384
2064,04-09-2025,jam,1243
1423,25-06-2025,margarine,5175
1958,31-10-2024,domestic eggs,5315
1528,22-04-2024,chips,674
1873,27-06-2025,canned beer,2882
2162,09-11-2024,curd,4733
2153,05-02-2025,frankfurter,4942
2069,08-05-2024,soda,3398
2006,27-03-2025,root vegetables,1537
1469,13-11-2024,rolls/buns,4688
1603,01-08-2025,tortillas,4405
1684,03-01-2024,salsa,3840
1525,21-02-2025,hamburger meat,2230
2074,16-10-2024,root vegetables,3419
1616,05-11-2025,yogurt,876
2059,19-04-2025,white bread,744
2088,26-08-2024,cat food,3005
1073,23-04-2025,newspapers,853
1263,03-01-2024,margarine,4197
1979,09-12-2025,jam,1910
1791,28-07-2024,bottled water,2556
1247,14-08-2024,domestic eggs,1919
1183,28-06-2025,  CANNED BEER,2116
1995,14-12-2025,tropical fruit,4102
1920,18-08-2024,brown bread,3909
1254,17-08-2025,margarine,4957
1328,25-07-2025,citrus fruit,3894
2179,27-05-2025,frozen vegetables,1025
1077,27-10-2024,whole milk,2517
1873,01-08-2024,beef,1059
2093,29-03-2025,root vegetables,4648
2088,04-06-2024,whole milk,3349
1235,15-02-2025,cereal,3030
1840,12-10-2025,canned beer,1701
1887,29-06-2024,  CANNED BEER,417
1133,12-08-2025,rolls/buns,3481
1418,01-01-2025,newspapers,5940
1763,19-08-2025,citrus fruit,1615
2020,28-05-2025,  CITRUS FRUIT,5712
1897,07-11-2024,tomato sauce,2953
2119,18-03-2025,salty snack,2184
1651,28-05-2024,pastry,1643
1077,27-10-2024,soda,2517
1003,24-02-2024,citrus fruit,1497
1614,17-10-2024,bottled water,1693
1979,25-02-2025,ground beef,2863
1296,14-03-2025,newspapers,4539
1498,25-07-2025,citrus fruit,2995
1434,20-06-2025,margarine,5029
1497,04-12-2024,frankfurter,1592
1289,29-01-2025,white bread,1808
2046,27-11-2025,citrus fruit,1332
1798,12-10-2024,tomato sauce,2003
1833,21-06-2025,chocolate,4859
1675,04-10-2024,margarine,5956
1745,31-12-2024,yogurt,4134
1451,13-07-2025,canned beer,4906
1610,08-05-2025,salty snack,787
2036,27-05-2025,domestic eggs,3526
1474,18-07-2025,parmesan,1782
1316,27-09-2024,napkins,1794
1560,29-06-2025,onions,5529
1772,19-05-2025,root vegetables,3150
1816,15-06-2025,dish detergent,2765
1155,12-01-2024,soda,1265
1241,05-08-2025,citrus fruit,700
1774,20-09-2024,root vegetables,480
1796,22-05-2024,margarine,2922
1445,20-03-2024,whole milk,5484
1237,11-01-2025,citrus fruit,5763
1721,24-03-2025,bottled water,775
1594,07-11-2025,parmesan,76
1523,01-09-2024,cat food,2398
1062,23-01-2025,white bread,5641
1220,20-03-2025,salty snack,4448
1564,30-03-2025,dish detergent,1000
2094,16-01-2024,white bread,127
1887,02-11-2024,margarine,4966
1852,25-01-2024,soda,5357
1986,10-08-2025,canned beer,3063
1936,14-08-2025,domestic eggs,2304
1822,27-10-2025,canned beer,1632
1485,23-01-2025,root vegetables,305
1080,19-01-2024,white bread,3992
1193,15-02-2025,canned beer,2380
1010,29-10-2025,creamer,4796
1466,26-12-2025,whole milk,99
1166,26-06-2025,ground beef,1452
1731,10-08-2024,margarine,5356
1044,15-05-2025,cat food,3014
1400,31-08-2025,ground beef,1759
1982,20-04-2024,ground beef,2400
2073,21-03-2024,root vegetables,4
1544,09-05-2024,butter,293
1013,02-07-2025,ice cream,5242
1379,26-03-2024,domestic eggs,578
1505,01-03-2024,chocolate,5513
1081,06-10-2025,margarine,3139
1244,07-12-2025,napkins,1068
1551,21-05-2025,brown bread,2963
1646,04-08-2024,creamer,472
1567,13-01-2025,citrus fruit,5159
1523,01-09-2024,shopping bags,2398
1528,24-05-2024,margarine,230
1798,02-12-2024,newspapers,903
2025,19-11-2024,newspapers,2759
2198,06-08-2024,margarine,36
2198,06-08-2024,canned beer,36
2166,22-01-2024,margarine,5030
2105,10-09-2024,salty snack,2495
1110,24-01-2025,jam,2108
1299,09-01-2025,domestic eggs,5381
1281,06-04-2025,tropical fruit,4764
1842,04-04-2025,salty snack,2056
1202,07-09-2025,frankfurter,16
2171,01-11-2025,tropical fruit,2439
1349,07-02-2024,chocolate,3120
1323,27-11-2024,chocolate,1765
1978,01-01-2024,margarine,2867
2130,14-11-2024,cereal,3315
2157,04-11-2025,whole milk,2379
1709,21-02-2025,canned beer,4398
1104,08-08-2025,citrus fruit,933
1590,21-10-2025,rolls/buns,860
2081,28-05-2025,pastry,2067
1655,17-09-2025,ground beef,5466
1088,20-12-2024,ground beef,513
1140,23-07-2024,margarine,3367
1562,12-01-2025,onions,3523
1804,15-06-2025,tomato sauce,5311
1538,09-06-2025,canned beer,4769
2159,20-02-2025,pastry,2423
1331,28-11-2024,chocolate,4898
1264,06-12-2025,hamburger meat,5998
1892,21-09-2025,cat food,435
1995,31-10-2024,frankfurter,2966
1209,16-08-2025,citrus fruit,3819
1016,30-07-2025,soda,2532
1359,07-12-2024,margarine,3143
1477,24-05-2024,white bread,5349
1032,16-12-2024,ice cream,3332
1887,02-11-2024,shopping bags,4966
1223,28-02-2025,,3020
1547,15-03-2025,beef,5757
1691,27-02-2025,frankfurter,4106
1298,28-07-2025,whole milk,2089
1751,29-11-2025,white bread,1899
1261,20-08-2025,canned beer,2931
1089,04-01-2024,citrus fruit,4026
1889,13-01-2025,coffee,5231
1666,31-01-2024,frozen vegetables,2579
1323,06-01-2024,frozen vegetables,3550
1279,08-07-2024,root vegetables,3086
1670,16-01-2024,cereal,4498
1830,17-04-2025,canned beer,3043
1724,09-06-2024,canned beer,4037
2170,06-02-2025,beef,5374
1504,31-03-2024,frankfurter,1379
1744,19-05-2024,dish detergent,2848
1417,19-09-2024,napkins,1801
1460,19-04-2025,tropical fruit,5017
1141,09-02-2024,pip fruit,1034
2134,18-07-2025,bottled water,2136
1621,05-01-2025,pip fruit,3432
1457,17-03-2025,pip fruit,3363
1467,02-08-2025,margarine,4939
1916,16-06-2025,soda,2859
1190,19-03-2025,newspapers,2626
1775,23-09-2024,margarine,1829
1190,23-08-2025,white bread,4459
1833,02-06-2024,salsa,4309
1969,05-11-2024,canned beer,4537
2090,29-07-2025,ground beef,5647
1885,25-06-2024,parmesan,1962
1502,11-03-2024,frankfurter,55
1925,31-01-2025,salsa,2444
2044,20-11-2024,newspapers,2244
1838,09-05-2025,  ONIONS,2723
2044,20-11-2024,margarine,2244
1569,17-08-2025,jam,2874
2171,06-06-2024,curd,3152
1114,27-05-2025,ice cream,2427
1471,08-09-2024,pasta,5341
1629,25-09-2025,whole milk,3967
1213,25-02-2024,cat food,3027
1416,22-02-2024,canned beer,4233
1830,17-04-2025,frozen vegetables,3043
1295,03-11-2025,brown bread,290
1155,02-08-2024,cat food,3084
1577,10-09-2025,root vegetables,502
1651,31-01-2024,cat food,2285
1384,13-09-2025,granola,343
1310,28-09-2025,  DISH DETERGENT,4846
1395,30-04-2024,canned beer,1234
1155,23-08-2024,canned beer,5895
1965,07-04-2025,margarine,4159
1071,17-05-2024,canned beer,1175
1493,16-05-2025,tortillas,379
1111,17-09-2024,canned beer,5533
1952,27-06-2024,chocolate,1827
1513,25-09-2024,salsa,2197
1818,25-09-2024,brown bread,5809
1984,06-07-2024,jam,3242
1170,12-11-2025,root vegetables,3370
2095,28-07-2024,citrus fruit,2718
1355,01-07-2025,sausage,492
