feature,auc,separation,mean_normal,mean_anomaly
hour,0.305887130094919,0.38822573981016195,14.032785026986787,9.51309074074074
Amount,0.32767158012283637,0.34465683975432726,48.9167093802345,46.646433333333334
V10,0.5442024567280849,0.08840491345616974,-0.006374681213168807,0.6442755002783612
V1,0.4671921831379118,0.06561563372417645,0.002134863826971662,-0.3212215129349065
V4,0.5327566164154104,0.06551323283082078,-0.005043169733431244,0.3688660460266697
V9,0.5288519821328866,0.05770396426577329,-0.007636723993288545,0.1714010589173826
V27,0.5288397543271914,0.05767950865438287,-0.0006908989880561433,0.0665414135843642
V5,0.5247088218872138,0.04941764377442759,-0.004972036123785612,0.1663866290648064
V24,0.47539759910664436,0.04920480178671127,0.0009473753818874172,-0.06780660309211242
V3,0.5228112227805695,0.045622445561138925,-8.183598904398668e-05,0.17446320062183446
V2,0.5210581239530988,0.04211624790619761,-0.0024724191899490014,0.10033354952236481
V14,0.5202359017308766,0.040471803461753275,-0.006764969918314885,-0.06797240208190163
V7,0.4825184812953657,0.03496303740926865,0.0073391713669628805,-0.09989369949256637
V12,0.48283121161362375,0.03433757677275251,0.0005795201406137037,-0.2624002117092372
V28,0.5152849246231156,0.030569849246231184,-0.0010835017594996933,0.021110175664355132
V18,0.4848455611390285,0.030308877721943017,-0.005376103592624717,-0.06514469519587017
V13,0.48701836962590733,0.025963260748185335,0.0006803351551337289,-0.06685946599793875
V11,0.5128238414293691,0.025647682858738197,0.0027374669970329593,0.07803367472381133
V8,0.4874284757118928,0.02514304857621441,0.0016777757316011445,-0.05923205889131964
V23,0.48743646007816865,0.025127079843662692,-0.003493018734460827,-0.04802367611719925
V25,0.510479229480737,0.02095845896147397,-0.002698052447874896,0.027374849365112617
V15,0.5093688442211055,0.01873768844221102,0.0010073027631692269,0.02479298332701879
V19,0.49071501954215524,0.01856996091568952,0.005800956110466312,-0.01880409728472639
V16,0.508815522054718,0.017631044109436056,-0.0013965896457978242,0.008645323835314972
V17,0.5072025683975433,0.014405136795086593,-0.005863199941981988,0.026107266272397532
V22,0.5060879955332217,0.012175991066443403,-0.005042823638643337,0.03065402540190477
V20,0.49512501395868225,0.009749972082635505,-0.0006907516732803368,-0.02015043916476072
V21,0.502451256281407,0.004902512562813932,-0.0029536617845053416,0.01191995294685603
V6,0.5016057509771078,0.003211501954215601,-0.00561858417319137,-0.007195613480724402
V26,0.500737409268565,0.0014748185371300515,0.006706810168154888,0.00976923483184141
