eval,restart,step,move,accepted,label,feature_set,scaler,detector,param_n_estimators,param_max_samples,param_max_features,average_precision,roc_auc,precision_at_budget,recall_at_budget,seconds,running_best_ap,param_support_fraction,param_n_components,param_nu,param_gamma,param_n_neighbors,param_metric
0,0,0,start,True,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount | standard",components_amount,standard,iforest,300.0,1024.0,0.8,0.11688457290761763,0.9726605248464546,0.06666666666666667,0.06666666666666667,0.3734437089988205,0.11688457290761763,,,,,,
1,0,1,neighbour,False,"iforest[max_features=1.0, max_samples=1024, n_estimators=300] | components_amount | standard",components_amount,standard,iforest,300.0,1024.0,1.0,0.11470755015521124,0.9671705750977108,0.06666666666666667,0.06666666666666667,0.343137249999927,0.11688457290761763,,,,,,
2,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount | quantile",components_amount,quantile,iforest,300.0,1024.0,0.8,0.11411033568606402,0.9713149078726969,0.016666666666666666,0.016666666666666666,0.5896999579999829,0.11688457290761763,,,,,,
3,0,1,neighbour,False,"iforest[max_features=0.5, max_samples=1024, n_estimators=300] | components_amount | standard",components_amount,standard,iforest,300.0,1024.0,0.5,0.11562418561669857,0.9693802345058626,0.05,0.05,0.35499329200138163,0.11688457290761763,,,,,,
4,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=600] | components_amount | standard",components_amount,standard,iforest,600.0,1024.0,0.8,0.11813206571468815,0.974108040201005,0.06666666666666667,0.06666666666666667,0.6946652089991403,0.11813206571468815,,,,,,
5,0,1,neighbour,False,elliptic[support_fraction=0.85] | components_amount | standard,components_amount,standard,elliptic,,,,0.27191306854418484,0.9781476828587381,0.2,0.2,2.602216875000522,0.27191306854418484,0.85,,,,,
6,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components | standard",components,standard,iforest,300.0,1024.0,0.8,0.1050614120954173,0.9655164712451145,0.05,0.05,0.3587494580006023,0.11688457290761763,,,,,,
7,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount | robust",components_amount,robust,iforest,300.0,1024.0,0.8,0.11688457290761763,0.9726605248464546,0.06666666666666667,0.06666666666666667,0.36561116599841625,0.11688457290761763,,,,,,
8,0,1,neighbour,False,pca_recon[n_components=10] | components_amount | standard,components_amount,standard,pca_recon,,,,0.24206713223716728,0.9438358458961474,0.21666666666666667,0.21666666666666667,0.012281625000468921,0.24206713223716728,,10.0,,,,
9,0,1,neighbour,False,"ocsvm[gamma=0.01, nu=0.05] | components_amount | standard",components_amount,standard,ocsvm,,,,0.26390015307594317,0.9764168062534897,0.18333333333333332,0.18333333333333332,0.15657220799948846,0.26390015307594317,,,0.05,0.01,,
10,0,1,neighbour,False,"lof[metric=manhattan, n_neighbors=35] | components_amount | standard",components_amount,standard,lof,,,,0.158644286735342,0.9749637074260189,0.15,0.15,3.469238583000333,0.158644286735342,,,,,35.0,manhattan
11,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=256, n_estimators=300] | components_amount | standard",components_amount,standard,iforest,300.0,256.0,0.8,0.10532343440589619,0.9673087660524846,0.016666666666666666,0.016666666666666666,0.5524329590007255,0.11688457290761763,,,,,,
12,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount | minmax",components_amount,minmax,iforest,300.0,1024.0,0.8,0.11688457290761763,0.9726605248464546,0.06666666666666667,0.06666666666666667,0.44274529200083634,0.11688457290761763,,,,,,
13,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=4096, n_estimators=300] | components_amount | standard",components_amount,standard,iforest,300.0,4096.0,0.8,0.11847243913843591,0.9663386376326074,0.13333333333333333,0.13333333333333333,0.4179437910006527,0.11847243913843591,,,,,,
14,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=100] | components_amount | standard",components_amount,standard,iforest,100.0,1024.0,0.8,0.10807417585680411,0.9652191513121161,0.08333333333333333,0.08333333333333333,0.13585908300046867,0.11688457290761763,,,,,,
15,0,1,neighbour,False,"iforest[max_features=0.8, max_samples=1024, n_estimators=300] | components_amount_time | standard",components_amount_time,standard,iforest,300.0,1024.0,0.8,0.12898733945431426,0.9754815745393635,0.03333333333333333,0.03333333333333333,0.3629815830008738,0.12898733945431426,,,,,,
16,0,1,accepted,True,elliptic[support_fraction=0.85] | components_amount | standard,components_amount,standard,elliptic,,,,0.27191306854418484,0.9781476828587381,0.2,0.2,2.602216875000522,0.27191306854418484,0.85,,,,,
