,importance,stddev,p_value,n,p99_high,p99_low
worst radius,0.0030423280423281128,0.0014300098088914825,0.0044617456887901434,5,0.0059867380036295135,9.791808102671247e-05
worst concave points,0.002910052910052996,0.0015755461970332774,0.007246687994659594,5,0.006154124306060714,-0.00033401848595472194
worst area,0.0023148148148148806,0.0013019192913379083,0.008229827741811082,5,0.0049954846300781525,-0.0003658550004483913
worst perimeter,0.002248677248677322,0.0012239917674154157,0.007377933573987496,5,0.004768893215113637,-0.0002715387177589924
worst texture,0.0019841269841270213,0.0013019192913379365,0.013541434320453407,5,0.004664796799390351,-0.0006965428311363087
worst concavity,0.0013888888888889284,0.0007895063747561646,0.008525209149785398,5,0.0030144934266263437,-0.00023671564884848663
mean texture,0.0011243386243386722,0.0005015129261938789,0.003710894385996373,5,0.00215696067100236,9.171657767498482e-05
mean concave points,0.0009920634920635107,0.0011214169945643893,0.05952727203031531,5,0.0033010765834685604,-0.001316949599341539
worst smoothness,0.0009259259259259967,0.0005433755530805538,0.009467489354680442,5,0.002044743699951106,-0.0001928918480991128
mean area,0.0007936507936507686,0.0007245007374406983,0.03524199845511321,5,0.0022854078256841653,-0.0006981062383826282
area error,0.0007275132275132545,0.0007540842758592042,0.04859259259258604,5,0.0022801831740374367,-0.0008251567190109277
mean concavity,0.000529100529100579,0.0006007242766066828,0.060121670316777925,5,0.0017660001175078916,-0.0007077990593067337
smoothness error,0.0003306878306878813,0.00023383160753524622,0.017054711583699603,5,0.000812150342492334,-0.0001507746811165714
mean radius,0.0003306878306878369,0.0005727681241960873,0.13313231398316183,5,0.0015100253148874687,-0.0008486496535117947
mean perimeter,0.00033068783068781473,0.0004050082246665293,0.07096372388703451,5,0.0011646053630728105,-0.000503229701697181
worst compactness,0.0002645502645502562,0.0004311641802382675,0.12099076528401534,5,0.0011523232709704143,-0.000623222741869902
perimeter error,0.0001984126984127421,0.00018112518436021386,0.03524199845510996,5,0.0005713519564211722,-0.00017452655959568797
radius error,0.0001984126984127199,0.0001811251843601936,0.03524199845510996,5,0.0005713519564211082,-0.00017452655959566843
texture error,0.00013227513227516142,0.0001811251843602139,0.08890390417811062,5,0.0005052143902835915,-0.00024066412573326866
concavity error,0.00013227513227516142,0.00018112518436021386,0.08890390417811062,5,0.0005052143902835915,-0.00024066412573326866
worst fractal dimension,0.0001322751322751392,0.00018112518436018348,0.08890390417811068,5,0.0005052143902835066,-0.00024066412573322827
symmetry error,0.000132275132275117,0.00018112518436015306,0.08890390417811068,5,0.0005052143902834218,-0.00024066412573318786
mean compactness,0.000132275132275117,0.00029577618749993803,0.18695048315002943,5,0.000741282390390125,-0.0004767321258398909
concave points error,6.613756613758071e-05,0.0001478880937500187,0.18695048315002943,5,0.00037064119519518706,-0.0002383660629200256
mean smoothness,6.613756613758071e-05,0.00014788809375001867,0.18695048315002943,5,0.00037064119519518695,-0.0002383660629200255
compactness error,6.613756613758071e-05,0.00014788809375001867,0.18695048315002943,5,0.00037064119519518695,-0.0002383660629200255
fractal dimension error,0.0,0.0,0.5,5,0.0,0.0
mean fractal dimension,0.0,0.0,0.5,5,0.0,0.0
mean symmetry,0.0,0.0,0.5,5,0.0,0.0
worst symmetry,0.0,0.00023383160753528547,0.5,5,0.0004814625118045336,-0.0004814625118045336
