,importance,stddev,p_value,n,p99_high,p99_low
flavanoids,0.21630105152726173,0.05752313959168054,0.0005475633914015896,5,0.33474199099911683,0.09786011205540662
alcohol,0.1918347157537937,0.06687228672073467,0.0015176607993828794,5,0.32952567838304125,0.05414375312454617
proline,0.1765879698097706,0.08847576015302577,0.005567487659059382,5,0.35876078282720325,-0.0055848432076620325
color_intensity,0.08397535383701324,0.04198312307433907,0.005526184294215538,5,0.17041918451426652,-0.0024684768402400414
od280/od315_of_diluted_wines,0.04681471511721611,0.01635938934591075,0.0015315139702940283,5,0.08049892389075393,0.013130506343678294
magnesium,0.04541319981217384,0.010035474452593568,0.00026843773432880984,5,0.06607638041476546,0.02475001920958223
hue,0.02653983160853386,0.011802134042564784,0.003671095142040919,5,0.05084058872465458,0.002239074492413142
malic_acid,0.01958538368344307,0.004551314482824779,0.00032610656895851767,5,0.02895660310929636,0.01021416425758978
proanthocyanins,0.003282393515110016,0.002460922556139569,0.020319505607540506,5,0.008349467071693234,-0.001784680041473201
ash,0.002522251754999161,0.001907344137382984,0.0208401830716007,5,0.006449499696112033,-0.0014049961861137108
total_phenols,-0.002221272885799408,0.003556673061336364,0.882465276286402,5,0.005101966105833158,-0.009544511877431973
nonflavanoid_phenols,-0.005521778017282486,0.0052183753558077495,0.9614249397741079,5,0.005222928965784137,-0.016266485000349107
alcalinity_of_ash,-0.0057008214294910434,0.0029645571672486945,0.9936769009885571,5,0.0004032427523210933,-0.01180488561130318
