antecedents,consequents,support,confidence,lift
P0019,P0257,0.0087,0.7222,34.9462
P0257,P0019,0.0087,0.4194,34.9462
P0092,P0114,0.0113,0.4595,32.8185
P0114,P0092,0.0113,0.8095,32.8185
P0041,P0145,0.0147,0.8462,31.7308
P0145,P0041,0.0147,0.55,31.7308
P0040,P0231,0.0147,0.5789,31.015
P0231,P0040,0.0147,0.7857,31.015
P0156,P0093,0.01,0.5,30.0
P0093,P0156,0.01,0.6,30.0
P0056,P0258,0.008,0.6316,26.3158
P0258,P0056,0.008,0.3333,26.3158
P0079,P0235,0.0113,0.3778,24.6377
P0235,P0079,0.0113,0.7391,24.6377
P0138,P0219,0.0087,0.3611,24.6212
P0219,P0138,0.0087,0.5909,24.6212
P0178,P0187,0.0133,0.7143,23.8095
P0187,P0178,0.0133,0.4444,23.8095
P0207,P0094,0.0087,0.619,23.8095
P0094,P0207,0.0087,0.3333,23.8095
P0204,P0063,0.0087,0.2955,23.3254
P0063,P0204,0.0087,0.6842,23.3254
P0071,P0292,0.012,0.6923,23.0769
P0292,P0071,0.012,0.4,23.0769
P0172,P0020,0.0093,0.359,22.4359
P0020,P0172,0.0093,0.5833,22.4359
P0128,P0215,0.008,0.3158,21.5311
P0215,P0128,0.008,0.5455,21.5311
P0240,P0227,0.0087,0.4815,20.6349
P0227,P0240,0.0087,0.3714,20.6349
P0164,P0262,0.0093,0.56,18.2609
P0262,P0164,0.0093,0.3043,18.2609
P0102,P0091,0.0033,0.2174,17.1625
P0091,P0102,0.0033,0.2632,17.1625
P0183,P0171,0.0033,0.1786,13.3929
P0171,P0183,0.0033,0.25,13.3929
P0183,P0268,0.0033,0.1786,13.3929
P0268,P0183,0.0033,0.25,13.3929
P0264,P0177,0.0033,0.2381,13.2275
P0177,P0264,0.0033,0.1852,13.2275
P0066,P0003,0.0033,0.1852,12.0773
P0003,P0066,0.0033,0.2174,12.0773
P0280,P0240,0.0033,0.2083,11.5741
P0240,P0280,0.0033,0.1852,11.5741
P0033,P0016,0.0033,0.1923,11.5385
P0016,P0033,0.0033,0.2,11.5385
P0178,P0046,0.0033,0.1786,11.1607
P0183,P0087,0.0033,0.1786,11.1607
P0046,P0178,0.0033,0.2083,11.1607
P0087,P0183,0.0033,0.2083,11.1607
P0094,P0225,0.004,0.1538,10.0334
P0225,P0094,0.004,0.2609,10.0334
P0054,P0208,0.0033,0.2778,9.9206
P0208,P0054,0.0033,0.119,9.9206
P0146,P0100,0.0033,0.1667,9.6154
P0100,P0146,0.0033,0.1923,9.6154
P0018,P0292,0.0053,0.2759,9.1954
P0292,P0018,0.0053,0.1778,9.1954
P0138,P0095,0.0033,0.1389,9.058
P0095,P0138,0.0033,0.2174,9.058
P0043,P0226,0.0033,0.1515,8.7413
P0226,P0043,0.0033,0.1923,8.7413
P0258,P0017,0.0033,0.1389,8.0128
P0017,P0258,0.0033,0.1923,8.0128
P0128,P0135,0.0033,0.1316,7.8947
P0135,P0128,0.0033,0.2,7.8947
P0208,P0099,0.0033,0.119,7.4405
P0099,P0208,0.0033,0.2083,7.4405
P0128,P0288,0.0033,0.1316,7.3099
P0288,P0128,0.0033,0.1852,7.3099
P0292,P0039,0.0033,0.1111,7.2464
P0039,P0292,0.0033,0.2174,7.2464
P0078,P0145,0.0033,0.1923,7.2115
P0145,P0078,0.0033,0.125,7.2115
P0292,P0062,0.004,0.1333,7.1429
P0062,P0292,0.004,0.2143,7.1429
P0128,P0153,0.0033,0.1316,7.0489
P0153,P0128,0.0033,0.1786,7.0489
P0128,P0248,0.0033,0.1316,6.8058
P0248,P0128,0.0033,0.1724,6.8058
P0040,P0187,0.0033,0.1316,4.386
P0187,P0040,0.0033,0.1111,4.386
