customer_id,recency_days,frequency,monetary,avg_basket_value,product_diversity,category_diversity,archetype
C00000,159,4,616.12,154.03,15,5,at_risk
C00001,63,12,4016.2799999999997,334.69,63,8,champion
C00003,155,2,223.94,111.96999999999998,5,4,regular
C00004,61,9,1683.63,187.07000000000002,37,8,loyal
C00005,152,1,87.95,87.95,1,1,at_risk
C00006,297,1,173.71999999999997,173.71999999999997,4,4,at_risk
C00007,95,3,403.89,134.62999999999997,13,8,loyal
C00010,298,1,105.30000000000001,105.30000000000001,2,2,regular
C00012,42,2,113.27000000000001,56.635000000000005,3,3,loyal
C00014,23,7,1317.2,188.17142857142855,35,8,loyal
C00015,335,1,111.16,111.16,2,2,at_risk
C00016,129,3,289.34000000000003,96.44666666666666,7,6,regular
C00017,105,3,896.77,298.92333333333335,21,8,loyal
C00018,111,3,658.31,219.4366666666667,13,7,regular
C00019,42,6,1018.51,169.7516666666667,22,8,loyal
C00020,16,9,4036.29,448.4766666666667,64,8,champion
C00021,6,5,751.28,150.25600000000003,25,7,champion
C00022,118,6,598.52,99.75333333333334,18,7,loyal
C00023,121,6,2052.85,342.14166666666665,52,8,champion
C00024,31,6,658.63,109.77166666666666,12,4,loyal
C00026,88,2,382.07,191.035,10,6,regular
C00027,252,1,66.26,66.26,2,2,regular
C00028,30,8,1596.22,199.5275,42,8,loyal
C00030,106,2,295.92,147.95999999999998,6,3,regular
C00031,127,3,576.05,192.01666666666665,10,7,loyal
C00032,136,2,607.53,303.765,13,7,loyal
C00033,50,3,336.87,112.29,11,6,regular
C00034,304,2,382.64,191.32000000000002,12,7,loyal
C00035,236,2,279.24,139.62,6,3,regular
C00037,77,4,1036.11,259.0275,27,8,champion
C00038,98,5,1208.84,241.76800000000003,35,7,champion
C00040,20,3,286.27,95.42333333333333,6,4,regular
C00041,101,5,1207.01,241.402,32,8,loyal
C00044,169,2,336.68,168.34,9,5,regular
C00045,127,5,950.71,190.142,15,7,regular
C00046,139,4,615.79,153.9475,16,5,loyal
C00047,50,9,2188.7,243.18888888888887,56,8,champion
C00048,74,3,384.59000000000003,128.19666666666666,6,4,regular
C00049,92,4,654.88,163.72,13,7,loyal
C00050,54,4,593.59,148.39749999999998,12,5,regular
C00052,2,9,1925.8600000000001,213.98444444444445,43,8,champion
C00054,57,3,432.01,144.00333333333333,8,5,loyal
C00055,63,4,398.21999999999997,99.55499999999998,14,6,at_risk
C00056,51,5,799.57,159.914,21,7,loyal
C00059,94,2,141.92000000000002,70.96,5,4,loyal
C00060,268,1,136.81,136.81,5,4,regular
C00061,254,1,293.52,293.52,6,5,regular
C00062,255,2,95.17999999999999,47.59,5,3,regular
C00063,240,1,41.44,41.44,1,1,at_risk
C00065,112,3,637.86,212.62,12,6,regular
C00066,197,1,132.58,132.58,4,3,regular
C00067,14,8,1732.72,216.59,31,8,champion
C00069,72,2,484.5,242.25,8,6,regular
C00071,18,11,2850.04,259.0945454545454,64,8,champion
C00072,349,1,101.78999999999999,101.79,4,4,at_risk
C00073,61,4,664.6800000000001,166.17000000000002,19,6,loyal
C00074,118,4,9921.41,2480.3524999999995,41,8,regular
C00075,65,2,396.68,198.34,9,5,loyal
C00077,133,5,1096.18,219.23599999999996,28,8,loyal
C00078,1,6,1235.6599999999999,205.94333333333336,24,8,loyal
C00079,253,2,191.92,95.96,6,5,at_risk
C00081,126,7,1066.43,152.34714285714287,24,6,loyal
C00082,184,1,23.79,23.79,1,1,regular
C00083,48,2,89.44,44.72,3,3,regular
C00085,98,2,424.65000000000003,212.325,10,5,loyal
C00086,160,2,196.64000000000001,98.32,6,6,regular
C00087,66,1,119.15,119.15,3,3,regular
C00088,284,2,213.04,106.52000000000001,6,4,regular
C00090,50,4,740.82,185.20499999999998,15,7,regular
C00091,18,6,891.06,148.51000000000002,33,8,champion
C00092,123,2,126.58,63.29,2,2,at_risk
C00093,277,1,34.56,34.56,1,1,at_risk
C00094,146,2,229.8,114.9,4,4,at_risk
C00095,6,5,2003.79,400.758,48,8,champion
C00096,144,4,707.65,176.91250000000002,11,8,loyal
C00097,35,2,447.90999999999997,223.95499999999998,11,5,regular
C00098,6,10,2907.39,290.73900000000003,61,8,champion
C00100,227,4,13209.91,3302.4775000000004,43,8,loyal
C00101,125,3,150.74,50.24666666666667,3,2,regular
C00102,225,1,41.9,41.9,3,2,at_risk
C00103,37,6,770.21,128.36833333333337,20,8,loyal
C00104,79,5,975.08,195.01600000000002,27,7,loyal
C00106,29,4,644.91,161.2275,13,7,regular
C00108,65,2,458.41999999999996,229.20999999999998,13,7,regular
C00111,35,8,1396.68,174.585,29,8,loyal
C00112,24,6,1345.97,224.32833333333338,21,8,loyal
C00113,52,2,512.91,256.45500000000004,9,7,loyal
C00114,188,3,9086.05,3028.683333333334,32,8,loyal
C00115,78,2,425.15999999999997,212.58,9,4,loyal
