customer_id,segment
C00000,1
C00001,0
C00003,1
C00004,0
C00005,1
C00006,1
C00007,1
C00010,1
C00012,1
C00014,0
C00015,1
C00016,1
C00017,1
C00018,1
C00019,0
C00020,0
C00021,0
C00022,1
C00023,0
C00024,1
C00026,1
C00027,1
C00028,0
C00030,1
C00031,1
C00032,1
C00033,1
C00034,1
C00035,1
C00037,1
C00038,0
C00040,1
C00041,0
C00044,1
C00045,1
C00046,1
C00047,0
C00048,1
C00049,1
C00050,1
C00052,0
C00054,1
C00055,1
C00056,1
C00059,1
C00060,1
C00061,1
C00062,1
C00063,1
C00065,1
C00066,1
C00067,0
C00069,1
C00071,0
C00072,1
C00073,1
C00074,0
C00075,1
C00077,1
C00078,0
C00079,1
C00081,0
C00082,1
C00083,1
C00085,1
C00086,1
C00087,1
C00088,1
C00090,1
C00091,0
C00092,1
C00093,1
C00094,1
C00095,0
C00096,1
C00097,1
C00098,0
C00100,0
C00101,1
C00102,1
C00103,0
C00104,1
C00106,1
C00108,1
C00111,0
C00112,0
C00113,1
C00114,0
C00115,1
C00116,1
C00117,1
C00118,1
C00119,1
C00120,0
C00121,1
C00122,1
C00123,0
C00124,1
C00125,0
C00126,1
C00127,1
C00128,1
C00129,0
C00130,1
C00131,1
C00133,1
C00134,0
C00135,1
C00136,1
C00138,1
C00140,1
C00141,1
C00143,0
C00144,1
C00145,1
C00146,1
C00147,0
C00148,1
C00149,1
C00150,1
C00151,0
C00152,1
C00153,1
C00155,1
C00156,0
C00157,1
C00158,0
C00159,1
C00160,1
C00161,1
C00162,0
C00163,1
C00164,1
C00165,1
C00166,0
C00167,1
C00168,1
C00169,1
C00170,1
C00171,1
C00172,1
C00173,1
C00174,1
C00176,1
C00178,1
C00179,0
C00180,1
C00181,1
C00183,1
C00184,1
C00185,1
C00188,1
C00189,1
C00190,0
C00192,1
C00193,1
C00194,0
C00195,1
C00196,1
C00197,0
C00198,0
C00199,0
C00200,1
C00201,1
C00202,1
C00203,1
C00204,1
C00206,1
C00207,1
C00209,1
C00210,1
C00211,1
C00212,1
C00213,1
C00214,0
C00215,1
C00217,1
C00218,1
C00219,1
C00220,0
C00222,1
C00223,1
C00224,1
C00226,0
C00227,0
C00228,1
C00229,0
C00230,1
C00231,1
C00232,1
C00234,1
C00235,1
C00236,1
C00237,1
C00238,1
C00239,1
C00240,1
C00241,0
C00242,1
C00243,1
C00244,1
C00245,1
C00246,1
C00247,1
C00248,1
C00249,1
C00250,0
C00251,1
C00252,0
C00254,1
C00256,1
C00257,1
C00258,1
C00259,1
C00260,1
C00261,1
C00262,1
C00263,1
C00264,1
C00265,1
C00266,1
C00267,0
C00268,1
C00269,1
C00270,0
C00271,0
C00272,0
C00273,1
C00274,1
C00275,1
C00276,1
C00277,1
C00278,1
C00279,1
C00280,0
C00281,1
C00282,1
C00284,1
C00285,1
C00286,1
C00287,1
C00288,1
C00289,1
C00290,1
C00291,0
C00292,1
C00293,0
C00294,1
C00295,0
C00296,1
C00298,1
C00300,1
C00301,1
C00302,1
C00303,1
C00306,1
C00307,1
C00308,1
C00309,1
C00310,1
C00311,1
C00312,1
C00313,1
C00314,1
C00315,1
C00316,1
C00317,0
C00318,1
C00319,1
C00320,0
C00321,1
C00322,1
C00323,1
C00324,1
C00325,1
C00326,1
C00327,0
C00328,1
C00329,1
C00330,1
C00331,1
C00332,1
C00333,0
C00334,0
C00335,1
C00336,0
C00337,0
C00338,1
C00342,1
C00343,0
C00345,0
C00347,1
C00348,0
C00350,1
C00351,1
C00352,1
C00353,0
C00354,1
C00356,1
C00358,1
C00359,0
C00360,1
C00361,1
C00362,1
C00363,1
C00364,1
C00365,0
C00366,1
C00367,1
C00368,1
C00369,1
C00370,1
C00371,1
C00372,1
C00373,1
C00374,1
C00375,1
C00376,1
C00377,1
C00378,1
C00379,0
C00380,1
C00381,0
C00382,1
C00383,0
C00384,1
C00386,1
C00387,0
C00388,1
C00389,1
C00390,1
C00391,1
C00394,1
C00395,1
C00396,0
C00397,0
C00398,1
C00400,1
C00401,1
C00402,1
C00403,1
C00404,1
C00405,0
C00406,1
C00408,0
C00409,1
C00410,0
C00411,0
C00412,1
C00415,1
C00416,1
C00418,0
C00419,1
C00420,0
C00421,1
C00422,1
C00423,1
C00424,1
C00425,1
C00427,1
C00428,1
C00429,1
C00430,1
C00431,0
C00432,0
C00433,1
C00434,1
C00435,1
C00436,1
C00438,1
C00439,1
C00440,1
C00441,1
C00442,1
C00444,1
C00445,1
C00446,0
C00447,0
C00448,1
C00450,1
C00451,1
C00453,1
C00454,1
C00456,0
C00457,1
C00458,1
C00459,1
C00460,1
C00461,1
C00462,1
C00463,0
C00464,1
C00465,0
C00466,1
C00467,1
C00468,0
C00469,1
C00470,0
C00471,1
C00472,1
C00473,1
C00474,1
C00475,1
C00476,1
C00477,0
C00478,0
C00479,0
C00480,1
C00481,0
C00483,1
C00484,1
C00485,1
C00487,0
C00488,1
C00489,1
C00491,1
C00492,1
C00493,1
C00495,1
C00496,1
C00498,1
C00499,1
