invoice_id,customer_id,invoice_date,n_lines,total_quantity,invoice_value,avg_unit_qty,anomaly_score,is_anomaly
INV100077,C00396,2024-03-24,43,1103,13004.75,25.651162790697676,-0.8550205870286803,True
INV100911,C00100,2024-05-18,39,1077,12899.47,27.615384615384617,-0.8527097345083586,True
INV101007,C00487,2024-09-02,38,1033,13121.300000000001,27.18421052631579,-0.8515566513703846,True
INV100487,C00345,2024-08-31,37,993,12591.84,26.83783783783784,-0.8495425065926047,True
INV100835,C00158,2024-09-28,36,997,11139.3,27.694444444444443,-0.8426729653457248,True
INV100927,C00420,2024-01-23,30,850,10826.130000000001,28.333333333333332,-0.8398270768007465,True
INV100921,C00333,2024-07-11,31,795,11192.48,25.64516129032258,-0.8389751858963763,True
INV101020,C00250,2024-03-25,27,771,11359.6,28.555555555555557,-0.8384077387520468,True
INV100201,C00156,2024-10-31,28,799,10089.76,28.535714285714285,-0.8364246944461393,True
INV101376,C00468,2024-06-25,31,839,10169.32,27.06451612903226,-0.8361417855509838,True
INV100230,C00194,2024-10-17,33,901,8726.35,27.303030303030305,-0.8319096168135492,True
INV101034,C00114,2024-05-19,30,833,8911.76,27.766666666666666,-0.8313469485197347,True
INV100110,C00074,2024-07-03,28,765,9500.62,27.321428571428573,-0.8305036595577762,True
INV100669,C00252,2024-10-12,26,739,9391.52,28.423076923076923,-0.8296612259983361,True
INV101125,C00353,2024-06-01,28,717,8872.89,25.607142857142858,-0.8285393103789711,True
INV100577,C00120,2024-10-27,19,66,832.52,3.473684210526316,-0.7077296897531041,True
INV100578,C00478,2024-03-21,22,66,726.08,3.0,-0.6991365833771169,True
INV100982,C00134,2024-06-26,20,57,813.96,2.85,-0.6981021523146719,True
INV101300,C00271,2024-12-08,18,51,764.8,2.8333333333333335,-0.6788099573873764,True
INV101355,C00295,2024-07-09,17,58,736.5400000000001,3.411764705882353,-0.6784801702683683,True
INV100779,C00348,2024-07-31,16,51,780.3299999999999,3.1875,-0.6641266641439997,True
INV101204,C00432,2024-10-06,18,52,572.88,2.888888888888889,-0.6593738091039204,True
INV100765,C00431,2024-02-22,16,49,738.34,3.0625,-0.652586908174838,True
INV101384,C00001,2024-05-05,13,49,847.81,3.769230769230769,-0.6498077978554974,True
INV101106,C00478,2024-12-19,18,45,503.11,2.5,-0.6497353458793081,True
INV100812,C00098,2024-12-25,14,48,954.18,3.4285714285714284,-0.6440919220768797,True
INV100450,C00147,2024-08-31,15,43,912.72,2.8666666666666667,-0.6408402649992454,True
INV101446,C00387,2024-11-11,17,48,476.28,2.823529411764706,-0.6319447508034476,True
INV100840,C00071,2024-06-28,12,50,594.27,4.166666666666667,-0.6294100712398512,True
INV100322,C00383,2024-12-08,15,49,662.21,3.2666666666666666,-0.6282381069534141,True
