invoice_id,customer_id,invoice_date,n_lines,total_quantity,invoice_value,avg_unit_qty,anomaly_score,is_anomaly
INV100000,C00387,2024-02-25,9,20,322.96000000000004,2.2222222222222223,-0.47948589093572147,False
INV100001,C00379,2024-08-16,4,10,198.79,2.5,-0.4110867909888941,False
INV100002,C00252,2024-12-19,2,6,82.97,3.0,-0.39208377482793183,False
INV100003,C00267,2024-05-30,16,39,591.11,2.4375,-0.6272911925359054,False
INV100004,C00295,2024-07-08,4,11,64.97,2.75,-0.40360017491551126,False
INV100005,C00073,2024-10-31,6,18,194.74,3.0,-0.4240506196670628,False
INV100006,C00396,2024-02-13,4,10,82.94,2.5,-0.40050287550952013,False
INV100007,C00098,2024-08-11,1,5,94.8,5.0,-0.4873190407667068,False
INV100008,C00481,2024-07-15,7,21,297.03000000000003,3.0,-0.41870857355386115,False
INV100009,C00086,2024-03-06,4,14,165.57,3.5,-0.39393825274618477,False
INV100010,C00073,2024-04-15,4,15,148.42000000000002,3.75,-0.4003629174987395,False
INV100011,C00054,2024-08-30,1,3,81.66,3.0,-0.4364483347182229,False
INV100012,C00067,2024-08-16,1,4,17.36,4.0,-0.4561953960875955,False
INV100013,C00188,2024-08-04,4,14,192.32,3.5,-0.39604539900942726,False
INV100014,C00047,2024-08-29,14,41,428.25,2.9285714285714284,-0.5581672343665727,False
INV100015,C00127,2024-10-31,4,13,169.01999999999998,3.25,-0.3870278895315341,False
INV100016,C00091,2024-03-25,12,33,288.38,2.75,-0.5179217251240655,False
INV100017,C00007,2024-09-27,2,3,35.45,1.5,-0.4589488172157375,False
INV100018,C00190,2024-10-18,1,2,29.58,2.0,-0.4347802651364957,False
INV100019,C00386,2024-08-08,4,9,208.60999999999999,2.25,-0.42694673594391463,False
INV100020,C00336,2024-10-21,2,6,88.98,3.0,-0.3937564865277505,False
INV100021,C00226,2024-08-31,5,16,227.07,3.2,-0.4062038267076113,False
INV100022,C00206,2024-05-05,5,12,156.45,2.4,-0.41408109941982174,False
INV100023,C00027,2024-04-23,2,7,66.26,3.5,-0.3979374999172509,False
INV100024,C00158,2024-07-28,2,5,115.07000000000001,2.5,-0.42417666162251677,False
INV100025,C00463,2024-11-12,2,6,84.55999999999999,3.0,-0.39233222452392297,False
INV100026,C00020,2024-07-06,10,30,422.21,3.0,-0.47829254305439856,False
INV100027,C00190,2024-09-27,1,3,40.92,3.0,-0.420919457706126,False
INV100028,C00359,2024-06-14,4,15,195.13,3.75,-0.4016352058880892,False
INV100029,C00020,2024-04-05,4,16,301.89,4.0,-0.44150193974990626,False
INV100030,C00098,2024-10-20,4,16,114.63,4.0,-0.4293391841948291,False
INV100031,C00235,2024-01-19,4,6,53.09,1.5,-0.4721609776292487,False
