invoice_id,customer_id,invoice_date,n_lines,total_quantity,invoice_value,avg_unit_qty
INV100000,C00387,2024-02-25,9,20,322.96000000000004,2.2222222222222223
INV100001,C00379,2024-08-16,4,10,198.79,2.5
INV100002,C00252,2024-12-19,2,6,82.97,3.0
INV100003,C00267,2024-05-30,16,39,591.11,2.4375
INV100004,C00295,2024-07-08,4,11,64.97,2.75
INV100005,C00073,2024-10-31,6,18,194.74,3.0
INV100006,C00396,2024-02-13,4,10,82.94,2.5
INV100007,C00098,2024-08-11,1,5,94.8,5.0
INV100008,C00481,2024-07-15,7,21,297.03000000000003,3.0
INV100009,C00086,2024-03-06,4,14,165.57,3.5
INV100010,C00073,2024-04-15,4,15,148.42000000000002,3.75
INV100011,C00054,2024-08-30,1,3,81.66,3.0
INV100012,C00067,2024-08-16,1,4,17.36,4.0
INV100013,C00188,2024-08-04,4,14,192.32,3.5
INV100014,C00047,2024-08-29,14,41,428.25,2.9285714285714284
INV100015,C00127,2024-10-31,4,13,169.01999999999998,3.25
INV100016,C00091,2024-03-25,12,33,288.38,2.75
INV100017,C00007,2024-09-27,2,3,35.45,1.5
INV100018,C00190,2024-10-18,1,2,29.58,2.0
INV100019,C00386,2024-08-08,4,9,208.60999999999999,2.25
INV100020,C00336,2024-10-21,2,6,88.98,3.0
INV100021,C00226,2024-08-31,5,16,227.07,3.2
INV100022,C00206,2024-05-05,5,12,156.45,2.4
INV100023,C00027,2024-04-23,2,7,66.26,3.5
INV100024,C00158,2024-07-28,2,5,115.07000000000001,2.5
INV100025,C00463,2024-11-12,2,6,84.55999999999999,3.0
INV100026,C00020,2024-07-06,10,30,422.21,3.0
INV100027,C00190,2024-09-27,1,3,40.92,3.0
INV100028,C00359,2024-06-14,4,15,195.13,3.75
INV100029,C00020,2024-04-05,4,16,301.89,4.0
INV100030,C00098,2024-10-20,4,16,114.63,4.0
INV100031,C00235,2024-01-19,4,6,53.09,1.5
INV100032,C00390,2024-07-04,4,11,164.63,2.75
INV100033,C00214,2024-04-13,2,7,132.23,3.5
INV100034,C00373,2024-10-22,1,1,9.2,1.0
INV100035,C00432,2024-04-30,7,17,180.88,2.4285714285714284
INV100036,C00150,2024-05-16,4,8,97.07,2.0
INV100037,C00022,2024-06-18,1,2,27.62,2.0
INV100038,C00495,2024-03-14,6,18,308.07,3.0
INV100039,C00050,2024-11-07,1,4,18.52,4.0
INV100040,C00046,2024-05-15,9,23,313.25,2.5555555555555554
INV100041,C00295,2024-07-13,9,29,291.36,3.2222222222222223
INV100042,C00439,2024-01-08,1,2,25.9,2.0
INV100043,C00471,2024-11-29,5,20,230.38,4.0
INV100044,C00104,2024-10-13,4,16,87.62,4.0
INV100045,C00056,2024-05-20,2,5,82.16,2.5
INV100046,C00184,2024-08-02,6,15,185.69,2.5
INV100047,C00123,2024-06-07,4,13,114.76,3.25
INV100048,C00129,2024-07-22,9,32,443.01,3.5555555555555554
INV100049,C00016,2024-01-15,2,8,153.22,4.0
INV100050,C00451,2024-10-02,1,5,65.15,5.0
INV100051,C00474,2024-06-22,1,1,10.02,1.0
INV100052,C00317,2024-03-14,4,17,183.63,4.25
INV100053,C00113,2024-09-17,2,8,102.06,4.0
INV100054,C00325,2024-08-30,4,14,185.94,3.5
INV100055,C00431,2024-10-13,9,25,375.33,2.7777777777777777
INV100056,C00199,2024-03-09,12,43,586.4,3.5833333333333335
INV100057,C00271,2024-11-11,5,17,357.81,3.4
INV100058,C00254,2024-09-11,4,11,132.77,2.75
INV100059,C00001,2024-03-22,4,11,222.18,2.75
INV100060,C00179,2024-05-13,1,5,51.55,5.0
INV100061,C00373,2024-03-03,6,19,233.42,3.1666666666666665
INV100062,C00447,2024-12-09,5,16,190.14,3.2
INV100063,C00272,2024-02-10,10,23,244.45,2.3
INV100064,C00281,2024-11-12,2,10,86.55,5.0
INV100065,C00381,2024-10-17,2,6,72.34,3.0
INV100066,C00333,2024-06-03,4,9,138.26,2.25
INV100067,C00189,2024-08-31,9,28,580.0400000000001,3.111111111111111
INV100068,C00055,2024-04-04,1,1,10.9,1.0
INV100069,C00045,2024-06-21,1,5,107.1,5.0
INV100070,C00050,2024-03-12,4,11,246.03,2.75
INV100071,C00190,2024-05-24,4,14,161.44,3.5
INV100072,C00020,2024-09-21,13,43,598.22,3.3076923076923075
INV100073,C00074,2024-09-04,2,6,68.39,3.0
INV100074,C00481,2024-03-30,4,15,310.34,3.75
INV100075,C00415,2024-04-26,2,5,94.84,2.5
INV100076,C00028,2024-10-06,6,13,191.35,2.1666666666666665
INV100077,C00396,2024-03-24,43,1103,13004.75,25.651162790697676
INV100078,C00111,2024-11-26,2,9,234.8,4.5
INV100079,C00444,2024-09-05,1,1,17.36,1.0
INV100080,C00197,2024-07-02,4,12,132.01,3.0
INV100081,C00326,2024-04-20,2,2,12.870000000000001,1.0
