invoice_id,invoice_date,customer_id,country,product_id,product_name,category,quantity,unit_price,line_total,archetype
INV101241,2024-01-01,C00181,United Kingdom,P0025,Garden Item 0025,Garden,4,16.76,67.04,dormant
INV100360,2024-01-02,C00127,United Kingdom,P0131,Stationery Item 0131,Stationery,5,12.06,60.3,regular
INV100360,2024-01-02,C00127,United Kingdom,P0096,Toys Item 0096,Toys,5,10.29,51.45,regular
INV100360,2024-01-02,C00127,United Kingdom,P0011,Stationery Item 0011,Stationery,5,15.05,75.25,regular
INV101052,2024-01-02,C00118,Ireland,P0211,Garden Item 0211,Garden,4,10.09,40.36,dormant
INV101052,2024-01-02,C00118,Ireland,P0060,Garden Item 0060,Garden,1,5.43,5.43,dormant
INV101235,2024-01-02,C00118,Ireland,P0032,Toys Item 0032,Toys,2,7.2,14.4,dormant
INV101235,2024-01-02,C00118,Ireland,P0031,Apparel Item 0031,Apparel,4,17.17,68.68,dormant
INV100465,2024-01-03,C00078,Ireland,P0293,Toys Item 0293,Toys,5,13.85,69.25,loyal
INV100529,2024-01-05,C00338,Ireland,P0080,Toys Item 0080,Toys,4,10.29,41.16,regular
INV101042,2024-01-05,C00119,United Kingdom,P0127,Toys Item 0127,Toys,3,32.0,96.0,loyal
INV100042,2024-01-08,C00439,Netherlands,P0048,Apparel Item 0048,Apparel,2,12.95,25.9,regular
INV100975,2024-01-10,C00288,France,P0163,Sports Item 0163,Sports,1,16.1,16.1,regular
INV101237,2024-01-10,C00330,Ireland,P0108,Garden Item 0108,Garden,1,12.75,12.75,at_risk
INV101245,2024-01-10,C00138,Netherlands,P0040,Toys Item 0040,Toys,3,25.32,75.96,at_risk
INV101245,2024-01-10,C00138,Netherlands,P0231,Toys Item 0231,Toys,5,10.98,54.9,at_risk
INV100538,2024-01-12,C00258,United Kingdom,P0103,Garden Item 0103,Garden,4,5.64,22.56,regular
INV100538,2024-01-12,C00258,United Kingdom,P0156,Beauty Item 0156,Beauty,2,6.52,13.04,regular
INV101471,2024-01-12,C00122,United Kingdom,P0040,Toys Item 0040,Toys,5,25.32,126.6,at_risk
INV101471,2024-01-12,C00122,United Kingdom,P0227,Garden Item 0227,Garden,2,14.32,28.64,at_risk
INV101471,2024-01-12,C00122,United Kingdom,P0230,Apparel Item 0230,Apparel,3,13.03,39.09,at_risk
INV100163,2024-01-13,C00024,United Kingdom,P0086,Toys Item 0086,Toys,1,15.78,15.78,loyal
INV100532,2024-01-14,C00381,Netherlands,P0082,Home Item 0082,Home & Kitchen,2,2.54,5.08,regular
INV100532,2024-01-14,C00381,Netherlands,P0265,Home Item 0265,Home & Kitchen,4,6.17,24.68,regular
INV100532,2024-01-14,C00381,Netherlands,P0212,Sports Item 0212,Sports,5,27.54,137.7,regular
INV101247,2024-01-14,C00324,United Kingdom,P0207,Apparel Item 0207,Apparel,3,10.85,32.55,at_risk
INV100049,2024-01-15,C00016,Germany,P0059,Garden Item 0059,Garden,3,22.24,66.72,regular
INV100049,2024-01-15,C00016,Germany,P0135,Beauty Item 0135,Beauty,5,17.3,86.5,regular
INV100973,2024-01-17,C00072,France,P0225,Beauty Item 0225,Beauty,1,4.63,4.63,at_risk
INV100973,2024-01-17,C00072,France,P0216,Stationery Item 0216,Stationery,3,7.88,23.64,at_risk
INV100973,2024-01-17,C00072,France,P0123,Toys Item 0123,Toys,3,19.79,59.37,at_risk
INV100973,2024-01-17,C00072,France,P0094,Apparel Item 0094,Apparel,1,14.15,14.15,at_risk
INV100630,2024-01-18,C00356,United Kingdom,P0020,Sports Item 0020,Sports,3,17.23,51.69,dormant
INV100630,2024-01-18,C00356,United Kingdom,P0213,Toys Item 0213,Toys,3,13.64,40.92,dormant
INV100630,2024-01-18,C00356,United Kingdom,P0057,Beauty Item 0057,Beauty,2,13.72,27.44,dormant
INV101473,2024-01-18,C00248,Germany,P0285,Toys Item 0285,Toys,5,5.98,29.9,regular
INV101473,2024-01-18,C00248,Germany,P0038,Beauty Item 0038,Beauty,2,4.36,8.72,regular
INV101473,2024-01-18,C00248,Germany,P0134,Beauty Item 0134,Beauty,5,8.0,40.0,regular
INV101473,2024-01-18,C00248,Germany,P0006,Toys Item 0006,Toys,5,14.64,73.2,regular
INV100031,2024-01-19,C00235,United Kingdom,P0116,Stationery Item 0116,Stationery,1,8.27,8.27,regular
INV100031,2024-01-19,C00235,United Kingdom,P0224,Toys Item 0224,Toys,2,6.73,13.46,regular
INV100031,2024-01-19,C00235,United Kingdom,P0000,Home Item 0000,Home & Kitchen,2,5.41,10.82,regular
INV100031,2024-01-19,C00235,United Kingdom,P0115,Home Item 0115,Home & Kitchen,1,20.54,20.54,regular
