date,store_id,category,promo,sales
2023-01-01,S1,Apparel,0,110.0
2023-01-02,S1,Apparel,0,113.0
2023-01-03,S1,Apparel,0,80.0
2023-01-04,S1,Apparel,0,96.0
2023-01-05,S1,Apparel,0,62.0
2023-01-06,S1,Apparel,0,89.0
2023-01-07,S1,Apparel,0,114.0
2023-01-08,S1,Apparel,0,109.0
2023-01-09,S1,Apparel,0,80.0
2023-01-10,S1,Apparel,0,110.0
2023-01-11,S1,Apparel,0,93.0
2023-01-12,S1,Apparel,0,123.0
2023-01-13,S1,Apparel,0,95.0
2023-01-14,S1,Apparel,0,104.0
2023-01-15,S1,Apparel,0,86.0
2023-01-16,S1,Apparel,0,100.0
2023-01-17,S1,Apparel,0,105.0
2023-01-18,S1,Apparel,0,103.0
2023-01-19,S1,Apparel,0,111.0
2023-01-20,S1,Apparel,0,92.0
2023-01-21,S1,Apparel,0,76.0
2023-01-22,S1,Apparel,0,120.0
2023-01-23,S1,Apparel,0,99.0
2023-01-24,S1,Apparel,0,98.0
2023-01-25,S1,Apparel,0,140.0
2023-01-26,S1,Apparel,0,91.0
2023-01-27,S1,Apparel,0,102.0
2023-01-28,S1,Apparel,0,95.0
2023-01-29,S1,Apparel,0,81.0
2023-01-30,S1,Apparel,0,86.0
2023-01-31,S1,Apparel,0,87.0
2023-02-01,S1,Apparel,0,123.0
2023-02-02,S1,Apparel,0,102.0
2023-02-03,S1,Apparel,0,104.0
2023-02-04,S1,Apparel,0,132.0
2023-02-05,S1,Apparel,0,126.0
2023-02-06,S1,Apparel,0,89.0
2023-02-07,S1,Apparel,0,109.0
2023-02-08,S1,Apparel,0,100.0
2023-02-09,S1,Apparel,0,87.0
2023-02-10,S1,Apparel,0,103.0
2023-02-11,S1,Apparel,0,130.0
2023-02-12,S1,Apparel,0,158.0
2023-02-13,S1,Apparel,0,103.0
2023-02-14,S1,Apparel,0,111.0
2023-02-15,S1,Apparel,0,107.0
2023-02-16,S1,Apparel,0,152.0
2023-02-17,S1,Apparel,0,147.0
2023-02-18,S1,Apparel,0,144.0
2023-02-19,S1,Apparel,0,111.0
2023-02-20,S1,Apparel,0,123.0
2023-02-21,S1,Apparel,0,116.0
2023-02-22,S1,Apparel,0,113.0
2023-02-23,S1,Apparel,0,131.0
2023-02-24,S1,Apparel,0,149.0
2023-02-25,S1,Apparel,0,161.0
2023-02-26,S1,Apparel,0,173.0
2023-02-27,S1,Apparel,0,119.0
2023-02-28,S1,Apparel,0,110.0
2023-03-01,S1,Apparel,0,142.0
2023-03-02,S1,Apparel,0,126.0
2023-03-03,S1,Apparel,0,164.0
2023-03-04,S1,Apparel,1,137.0
2023-03-05,S1,Apparel,1,207.0
2023-03-06,S1,Apparel,1,199.0
2023-03-07,S1,Apparel,1,186.0
2023-03-08,S1,Apparel,1,211.0
2023-03-09,S1,Apparel,0,193.0
2023-03-10,S1,Apparel,0,134.0
2023-03-11,S1,Apparel,0,193.0
2023-03-12,S1,Apparel,0,147.0
2023-03-13,S1,Apparel,0,140.0
2023-03-14,S1,Apparel,0,124.0
2023-03-15,S1,Apparel,0,157.0
2023-03-16,S1,Apparel,0,160.0
2023-03-17,S1,Apparel,0,148.0
2023-03-18,S1,Apparel,0,215.0
2023-03-19,S1,Apparel,0,174.0
2023-03-20,S1,Apparel,0,124.0
2023-03-21,S1,Apparel,0,182.0
2023-03-22,S1,Apparel,0,107.0
2023-03-23,S1,Apparel,0,167.0
2023-03-24,S1,Apparel,0,139.0
2023-03-25,S1,Apparel,0,151.0
2023-03-26,S1,Apparel,0,206.0
2023-03-27,S1,Apparel,0,207.0
2023-03-28,S1,Apparel,0,162.0
2023-03-29,S1,Apparel,0,198.0
2023-03-30,S1,Apparel,0,186.0
2023-03-31,S1,Apparel,0,163.0
2023-04-01,S1,Apparel,0,294.0
2023-04-02,S1,Apparel,0,164.0
2023-04-03,S1,Apparel,0,159.0
2023-04-04,S1,Apparel,0,209.0
2023-04-05,S1,Apparel,0,103.0
2023-04-06,S1,Apparel,0,208.0
2023-04-07,S1,Apparel,0,199.0
2023-04-08,S1,Apparel,0,225.0
2023-04-09,S1,Apparel,0,204.0
2023-04-10,S1,Apparel,0,199.0
2023-04-11,S1,Apparel,0,171.0
2023-04-12,S1,Apparel,0,201.0
2023-04-13,S1,Apparel,0,173.0
2023-04-14,S1,Apparel,0,196.0
2023-04-15,S1,Apparel,0,278.0
