trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pu_zone,do_zone,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance_miles,rate_code,payment_type,fare_amount,tip_amount,tolls_amount,congestion_surcharge,total_amount
2836,V1,2024-03-19 22:26:00,2024-03-19 23:23:20.792276256,2.0,Queens,Manhattan,40.73367172172626,-73.77894042762239,40.797508594693944,-73.97368639666558,10.913,standard,cash,58.95,0.0,0.0,0.0,58.95
738,V1,2024-01-27 16:25:00,2024-01-27 17:00:59.686289130,2.0,Manhattan,Manhattan,40.81022324767772,-73.9982255500491,40.76803050249832,-73.9738464969032,3.809,standard,card,28.86,3.59,0.0,2.75,35.2
3335,V2,2024-02-23 15:36:00,2024-02-23 15:44:09.160334658,1.0,Manhattan,Manhattan,40.76676449968346,-73.97839759484224,40.77534235227251,-73.95979922148555,2.001,standard,cash,13.16,0.0,0.0,2.75,15.91
7387,V1,2024-03-19 17:36:00,2024-03-19 18:15:42.544695942,3.0,Brooklyn,Manhattan,40.680952091417474,-73.93783971141498,40.762260525797736,-74.00152476790466,6.702,standard,card,38.98,6.85,0.0,0.0,45.83
1374,V2,2024-02-18 05:33:00,2024-02-18 06:14:58.991272800,2.0,JFK Airport,LaGuardia Airport,40.620101837693916,-73.7733225135011,40.77181909161192,-73.89269652427329,11.922,airport_flat,cash,56.15,0.0,6.94,0.0,63.09
5629,V2,2024-02-24 03:29:00,2024-02-24 04:35:57.917887128,2.0,Manhattan,JFK Airport,40.7961669935142,-73.96962359521817,40.66228875505997,-73.81550608096097,12.54,airport_flat,card,66.49,15.07,6.94,2.75,91.25
5575,V2,2024-01-25 06:31:00,2024-01-25 06:59:26.965564146,3.0,Manhattan,Brooklyn,40.76952594490567,-73.96213872337616,40.67955452443605,-73.94611737908967,6.579,standard,card,32.57,4.75,0.0,2.75,40.07
454,V2,2024-02-22 15:31:00,2024-02-22 15:58:04.049629266,3.0,Manhattan,LaGuardia Airport,40.81939508587897,-73.95939065590132,40.80113181757588,-73.85558836483456,5.948,airport_flat,cash,33.93,0.0,6.94,2.75,43.62
7689,V2,2024-02-27 18:19:00,2024-02-27 18:42:32.493894720,3.0,Manhattan,Manhattan,40.796351560103396,-73.97485295377174,40.754776985202255,-73.98441660338077,3.348,standard,card,21.71,4.11,0.0,2.75,28.57
3468,V2,2024-01-05 13:24:00,2024-01-05 13:25:00.000000000,1.0,Manhattan,Manhattan,40.78780445301076,-73.96761408234593,40.802885769670986,-73.96570871953807,0.626,standard,mobile_wallet,5.01,0.9,0.0,2.75,8.66
4770,V2,2024-03-01 05:42:00,2024-03-01 06:21:12.189027354,4.0,Bronx,Manhattan,40.87987977815514,-73.84852289640115,40.79079579294665,-73.99879767560954,9.66,standard,card,47.49,5.87,0.0,0.0,53.36
6256,V1,2024-01-25 07:50:00,2024-01-25 08:02:38.979584004,3.0,LaGuardia Airport,LaGuardia Airport,40.79129745207557,-73.88493228675851,40.77093583913069,-73.88459376666445,1.17,airport_flat,cash,13.43,0.0,6.94,0.0,20.37
6740,V2,2024-02-05 02:13:00,2024-02-05 03:38:09.613191714,3.0,Manhattan,Staten Island,40.78845045719104,-73.93073442556222,40.58119381174255,-74.15295987988584,18.248,standard,cash,90.29,0.0,0.0,2.75,93.04
5352,V1,2024-01-08 08:30:00,2024-01-08 11:58:16.514240549,4.0,Bronx,JFK Airport,40.84568504081215,-73.86546460647412,40.62091738886001,-73.75984850930165,16.523,airport_flat,cash,142.34,0.0,6.94,0.0,149.28
